


23/02/2023,25351.112796/2023-98,0182739/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/02/2023,25351.116888/2023-47,0189618/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/02/2023,25351.118810/2023-67,0192630/23-7,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
08/03/2023,25351.141272/2023-12,0229708/23-4,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
10/03/2023,25351.149450/2023-45,0243211/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
11/03/2023,25351.150943/2023-28,0245834/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
14/03/2023,25351.156531/2023-00,0254460/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
16/03/2023,25351.161162/2023-69,0262636/23-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
16/03/2023,25351.162852/2023-35,0265031/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/03/2023,25351.166176/2023-79,0270458/23-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/03/2023,25351.166609/2023-96,0271223/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
20/03/2023,25351.170030/2023-28,0276967/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
20/03/2023,25351.170349/2023-53,0277694/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
21/03/2023,25351.171164/2023-66,0279251/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
21/03/2023,25351.171389/2023-12,0279753/23-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
22/03/2023,25351.174626/2023-05,0284967/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
23/03/2023,25351.177604/2023-99,0289949/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
23/03/2023,25351.177610/2023-46,0289957/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
23/03/2023,25351.177900/2023-90,0290560/23-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/03/2023,25351.184842/2023-51,0301582/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
28/03/2023,25351.190257/2023-90,0310653/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
31/03/2023,25351.197304/2023-26,0322902/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
31/03/2023,25351.197308/2023-12,0322903/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
31/03/2023,25351.200072/2023-09,0327039/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
10/04/2023,25351.217735/2023-16,0354915/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
12/04/2023,25351.223025/2023-25,0364008/23-7,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
13/04/2023,25351.225839/2023-02,0368416/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
14/04/2023,25351.229934/2023-77,0374643/23-7,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
14/04/2023,25351.230892/2023-17,0375772/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/04/2023,25351.235325/2023-57,0382374/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/04/2023,25351.240467/2023-36,0390993/23-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/04/2023,25351.243842/2023-08,0396285/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
20/04/2023,25351.244536/2023-81,0397702/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
24/04/2023,25351.248600/2023-01,0403635/23-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/04/2023,25351.250720/2023-60,0407290/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/04/2023,25351.250728/2023-26,0407239/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
26/04/2023,25351.255406/2023-73,0414748/23-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
26/04/2023,25351.257339/2023-21,0417121/23-7,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/04/2023,25351.259210/2023-58,0420305/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/04/2023,25351.259212/2023-47,0420307/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/04/2023,25351.259219/2023-69,0420341/23-4,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/04/2023,25351.261661/2023-55,0424022/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
27/04/2023,25351.261664/2023-99,0424024/23-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
28/04/2023,25351.263302/2023-32,0426703/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
28/04/2023,25351.263421/2023-95,0427108/23-3,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
